Game to Catch in,Catch Methods,Pokemon
Pokémon Shield," Trade
",Sirfetch'd
Pokémon Sword," Trade
",Cursola
Pokémon Shield," Evolve Corsola^Galarian Form,  Giant's Mirror, South Lake Miloch, Stony Wilderness, Watchtower Ruins (Max Raid Battles)
",Cursola
Pokémon Sword and Shield," Evolve Meowth^Galarian Form, Route 7, Route 9, Giant's Mirror, Lake of Outrage, Dusty Bowl, Giant's Seat, Stony Wilderness (Max Raid Battle)
",Perrserker
Pokémon Sword and Shield," Route 2, Lake of Outrage,  Bridge Field, Dusty Bowl, Giant's Mirror, Stony Wilderness, West Lake Axewell (Max Raid Battle)
",Obstagoon
Pokémon Sword and Shield," Lake of Outrage, Max Raid Battle (Dusty Bowl, Giant's Mirror, Hammerlocke Hills, Lake of Outrage, Rolling Fields
",Grimmsnarl
Pokémon Sword and Shield," Max Raid Battle (Dusty Bowl), Max Raid Battle(Wild Area News, February 6 - March 8, 2020)
",Grimmsnarl
Pokémon Sword and Shield," Glimwood Tangle
",Morgrem
Pokémon Sword," Giant's Mirror, Hammerlocke Hills, Motostoke Outskirts, Stony Wilderness, Glimwood Tangle
",Impidimp
Pokémon Shield," Giant's Mirror, Hammerlocke Hills, Motostoke Outskirts, Stony Wilderness, Trade Maractus in Stow-on-Side
",Impidimp
Pokémon Sword and Shield," Lake of Outrage
",Hatterene
Pokémon Sword and Shield," Dusty Bowl, Glimwood Tangle
",Hattrem
Pokémon Sword," Hammerlocke Hills, Motostoke Outskirts, Stony Wilderness
",Hatenna
Pokémon Shield," Hammerlocke Hills, Motostoke Outskirts, Stony Wilderness, Trade Maractus in Stow-on-Side
",Hatenna
Pokémon Sword and Shield," Evolve Sinistea
",Polteageist
Pokémon Sword and Shield," Glimwood Tangle
",Sinistea
Pokémon Sword and Shield," Route 9, Lake of Outrage, West Lake Axewell
",Grapploct
Pokémon Sword and Shield," Route 9
",Clobbopus
Pokémon Sword and Shield," Evolve Sizzlipede,  Dusty Bowl, Giant's Cap, Hammerlocke Hills, Lake of Outrage, Stony Wilderness (Max Raid Battles)
",Centiskorch
Pokémon Sword and Shield," Wild Area News, Stony Wilderness (Max Raid Battle)
",Centiskorch
Pokémon Sword and Shield," Route 3, Motostoke Stadium (Gym Challenge Once)
",Sizzlipede
Pokémon Sword and Shield," Evolve Toxel,  East Lake Axewell, Giant's Cap, Giant's Mirror, Hammerlocke Hills, Lake of Outrage, Motostoke Riverbank, North Lake Miloch (Max Raid Battles)
",Toxtricity
Pokémon Sword and Shield," Max Raid Battle (Wild Area News, February 6 - March 8, 2020)
",Toxtricity
Pokémon Sword and Shield," Route 5 (gift), Route 7, Wild Area (thunderstorm)
",Toxel
Pokémon Sword and Shield," Route 2, Motostoke Riverbank, Dusty Bowl, Lake of Outrage
",Barraskewda
Pokémon Sword and Shield," Hulbury, Motostoke Riverbank
",Arrokuda
Pokémon Sword and Shield," Route 9, Axew's Eye, Bridge Field, Lake of Outrage, Stony Wilderness,  Giant's Cap, Hammerlocke Hills (Max Raid Battle)
",Cramorant
Pokémon Sword and Shield," Route 8, Lake of Outrage,  Dusty Bowl (Max Raid Battle)
",Sandaconda
Pokémon Sword and Shield," Wild Area News,  Dusty Bowl (Max Raid Battle)
",Sandaconda
Pokémon Sword and Shield," Route 6, Dusty Bowl (Max Raid Battle)
",Silicobra
Pokémon Sword," Trade
",Appletun
Pokémon Shield," Axew's Eye, Bridge Field, Dappled Grove, Giant's Mirror, Stony Wilderness (Max Raid Battle)
",Appletun
Pokémon Sword," Axew's Eye, Bridge Field, Dappled Grove, Giant's Mirror, Stony Wilderness (Max Raid Battle)
",Flapple
Pokémon Shield," Trade
",Flapple
Pokémon Sword and Shield," Route 5, Dusty Bowl, Giant's Mirror, Stony Wilderness, Axew's Eye, Bridge Field, Dappled Grove, Giant's Mirror, Rolling Fields, Stony Wilderness (Max Raid Battle)
",Applin
Pokémon Sword and Shield," Dusty Bowl, Lake of Outrage, Dusty Bowl, Giant's Seat, Rolling Fields, Stony Wilderness (Max Raid Battle)
",Coalossal
Pokémon Sword," Giant's Seat, Wild Area News (Max Raid Battle)
",Coalossal
Pokémon Shield," Trade
",Coalossal
Pokémon Sword and Shield," Galar Mine, Bridge Field, Stony Wilderness, Giant's Cap, Giant's Seat, Rolling Fields (Max Raid Battle)
",Carkol
Pokémon Sword and Shield," Route 3, Galar Mine, Giant's Cap,  Motostoke Riverbank, Dusty Bowl, Giant's Seat, Rolling Fields, Stony Wilderness (Max Raid Battle)
",Rolycoly
Pokémon Sword and Shield," Motostoke Riverbank, Dusty Bowl, Lake of Outrage
",Boltund
Pokémon Sword and Shield," Routes 2 and 4
",Yamper
Pokémon Sword and Shield," Routes 2 and 6, Galar Mine No. 2
",Drednaw
Pokémon Sword and Shield," Routes 2, 4 and 5, Galar Mine No. 2, Giant's Cap, Giant's Mirror, Hulbury, Motostoke, Motostoke Outskirts, Motostoke Riverbank ,  Bridge Field, Dusty Bowl, East Lake Axewell, Giant's Cap, Giant's Mirror, Lake of Outrage, South Lake Miloch, West Lake Axewell (Max Raid Battles)
",Chewtle
Pokémon Sword and Shield," Dusty Bowl, Hammerlocke Hills, Motostoke Riverbank ,  Bridge Field, East Lake Axewell, Motostoke Riverbank, Rolling Fields, Stony Wilderness (Max Raid Battles)
",Dubwool
Pokémon Sword and Shield," Routes 1 and 4, Motostoke Riverbank ,  Bridge Field, East Lake Axewell, Motostoke Riverbank, Rolling Fields, Stony Wilderness (Max Raid Battles)
",Wooloo
Pokémon Sword and Shield," Route 5 (once), Motostoke Riverbank, Dusty Bowl, Giant's Cap, Stony Wilderness, Dappled Grove, Giant's Mirror, Stony Wilderness (Clear skies or Max Raid Battles)
",Eldegoss
Pokémon Sword and Shield," Routes 2 and 3, Motostoke Riverbank, Bridge Field,  Dappled Grove, Giant's Mirror, Stony Wilderness (Max Raid Battle)
",Gossifleur
Pokémon Sword and Shield," Routes 7 and 9, Bridge Field, Hammerlocke Hills, Stony Wilderness
",Thievul
Pokémon Sword and Shield," Routes 1 and 2, Dusty Bowl, Giant's Mirror, Stony Wilderness
",Nickit
Pokémon Sword and Shield," Giant's Cap, Lake of Outrage, Slumbering Weald ,  Bridge Field, Dappled Grove, Rolling Fields, South Lake Miloch (Max Raid Battles)
",Orbeetle
Pokémon Sword and Shield," Dappled Grove (Max Raid Battles)
",Orbeetle
Pokémon Sword and Shield," Route 5, Giant's Cap, Giant's Mirror, Stony Wilderness ,  Bridge Field, Dappled Grove, Rolling Fields, South Lake Miloch (Max Raid Battle)
",Dottler
Pokémon Sword and Shield," Routes 1 and 2, Giant's Cap, Slumbering Weald ,  Bridge Field, Dappled Grove, Rolling Fields, South Lake Miloch (Max Raid Battle)
",Blipbug
Pokémon Sword and Shield," Route 7, Dusty Bowl, Giant's Cap, Hammerlocke Hills, Lake of Outrage, Motostoke Riverbank, North Lake Miloch, Slumbering Weald, Watchtower Ruins ,  East Lake Axewell, Giant's Cap, Hammerlocke Hills (Max Raid Battle) ,  Giant's Cap (Gigantamax Max Raid Battle)
",Corviknight
Pokémon Sword and Shield," Route 3, Giant's Mirror, Hammerlocke Hills, Motostoke Riverbank ,  East Lake Axewell, Giant's Cap, Hammerlocke Hills (Max Raid Battle)
",Corvisquire
Pokémon Sword and Shield," Routes 1, 2, and 3, Motostoke Riverbank, Slumbering Weald ,  East Lake Axewell, Giant's Cap, Hammerlocke Hills (Max Raid Battle)
",Rookidee
Pokémon Sword and Shield," Routes 6, 7, and 9, Axew's Eye, Bridge Field, Giant's Cap, Giant's Mirror, Giant's Seat, Hammerlocke Hills, Lake of Outrage, Motostoke Riverbank
",Greedent
Pokémon Sword and Shield," Routes 1, 2, 3, 4, and 5, Rolling Fields, Slumbering Weald, Dappled Grove, Motostoke Riverbank, North Lake Miloch, Watchtower Ruins
",Skwovet
Pokémon Sword and Shield," Evolve Drizzile
",Inteleon
Pokémon Sword and Shield," Evolve Sobble
",Drizzile
Pokémon Sword and Shield," Starter Pokémon from Leon in Postwick
",Sobble
Pokémon Sword and Shield," Evolve Raboot
",Cinderace
Pokémon Sword and Shield," Evolve Scorbunny
",Raboot
Pokémon Sword and Shield," Starter Pokémon from Leon in Postwick
",Scorbunny
Pokémon Sword and Shield," Evolve Thwackey
",Rillaboom
Pokémon Sword and Shield," Evolve Grookey
",Thwackey
Pokémon Sword and Shield," Starter Pokémon from Leon in Postwick
",Grookey
Pokémon Sun and Moon," Unavailable
",Melmetal
Pokémon Ultra Sun and Ultra Moon," Unavailable
",Melmetal
Pokémon Let's Go Pikachu and Let's Go Eevee," Transfer from Pokémon GO after evolving Meltan
",Melmetal
Pokémon Sword and Shield," Pokémon HOME
",Melmetal
Pokémon Sun and Moon," Unavailable
",Meltan
Pokémon Ultra Sun and Ultra Moon," Unavailable
",Meltan
Pokémon Let's Go Pikachu and Let's Go Eevee," Transfer from Pokémon GO
",Meltan
Pokémon Sword and Shield," Pokémon HOME
",Meltan
Pokémon Sun and Moon," Unavailable
",Zeraora
Pokémon Ultra Sun and Ultra Moon," Event
",Zeraora
Pokémon Let's Go Pikachu and Let's Go Eevee," Unavailable
",Zeraora
Pokémon Sword and Shield," Pokémon HOME
",Zeraora
Pokémon Sun and Moon," Unobtainable
",Blacephalon
Pokémon Ultra Sun," Poni Grove (only two)
",Blacephalon
Pokémon Ultra Moon," Trade
",Blacephalon
Pokémon Let's Go Pikachu and Let's Go Eevee," Unobtainable
",Blacephalon
Pokémon Sword and Shield," Unobtainable
",Blacephalon
Pokémon Sun and Moon," Unobtainable
",Stakataka
Pokémon Ultra Sun," Trade
",Stakataka
Pokémon Ultra Moon," Poni Grove (only two)
",Stakataka
Pokémon Let's Go Pikachu and Let's Go Eevee," Unobtainable
",Stakataka
Pokémon Sword and Shield," Unobtainable
",Stakataka
Pokémon Sun and Moon," Unobtainable
",Naganadel
Pokémon Ultra Sun and Ultra Moon," Evolve Poipole
",Naganadel
Pokémon Let's Go Pikachu and Let's Go Eevee," Unobtainable
",Naganadel
Pokémon Sword and Shield," Unobtainable
",Naganadel
Pokémon Sun and Moon," Unobtainable
",Poipole
Pokémon Ultra Sun and Ultra Moon," Megalo Tower or Ultra Megalopolis* (Gift)
",Poipole
Pokémon Let's Go Pikachu and Let's Go Eevee," Unobtainable
",Poipole
Pokémon Sword and Shield," Unobtainable
",Poipole
Pokémon Sun and Moon," Event
",Marshadow
Pokémon Ultra Sun and Ultra Moon," Trade
",Marshadow
Pokémon Let's Go Pikachu and Let's Go Eevee," Unobtainable
",Marshadow
Pokémon Sword and Shield," Pokémon HOME
",Marshadow
Pokémon Sun and Moon," Event
",Magearna
Pokémon Ultra Sun and Ultra Moon," Event
",Magearna
Pokémon Let's Go Pikachu and Let's Go Eevee," Unobtainable
",Magearna
Pokémon Sword and Shield," Unobtainable
",Magearna
Pokémon Shuffle," Event: Tons of Exp. Points, Event: Take on Escalation Battles
",Magearna
Pokémon Sun and Moon," Ten Carat Hill
",Necrozma
Pokémon Ultra Sun and Ultra Moon," Mount Lanakila
",Necrozma
Pokémon Let's Go Pikachu and Let's Go Eevee," Unobtainable
",Necrozma
Pokémon Sword and Shield," Pokémon HOME
",Necrozma
Pokémon Shuffle," Event: Necrozma Appears
",Necrozma
Pokémon Sun and Moon," Resolution Cave (only one)
",Guzzlord
Pokémon Ultra Sun and Ultra Moon," Ultra Ruin
",Guzzlord
Pokémon Let's Go Pikachu and Let's Go Eevee," Unobtainable
",Guzzlord
Pokémon Sword and Shield," Unobtainable
",Guzzlord
Pokémon Shuffle," Event: Ultra Beasts appear
",Guzzlord
Pokémon Sun," Route 17, Malie Garden (only four for either location)
",Kartana
Pokémon Moon," Trade
",Kartana
Pokémon Ultra Sun," Ultra Forest
",Kartana
Pokémon Ultra Moon," Trade
",Kartana
Pokémon Let's Go Pikachu and Let's Go Eevee," Unobtainable
",Kartana
Pokémon Sword and Shield," Unobtainable
",Kartana
Pokémon Shuffle," Event: Kartana Appears
",Kartana
Pokémon Sun," Trade
",Celesteela
Pokémon Moon," Haina Desert, Malie Garden (only two for either location)
",Celesteela
Pokémon Ultra Sun," Trade
",Celesteela
Pokémon Ultra Moon," Ultra Crater
",Celesteela
Pokémon Let's Go Pikachu and Let's Go Eevee," Unobtainable
",Celesteela
Pokémon Sword and Shield," Unobtainable
",Celesteela
Pokémon Shuffle," Event: Ultra Beasts appear
",Celesteela
Pokémon Sun and Moon," Lush Jungle, Memorial Hill (only two for either location)
",Xurkitree
Pokémon Ultra Sun and Ultra Moon," Ultra Plant
",Xurkitree
Pokémon Let's Go Pikachu and Let's Go Eevee," Unobtainable
",Xurkitree
Pokémon Sword and Shield," Unobtainable
",Xurkitree
Pokémon Shuffle," Event: Ultra Beasts appear
",Xurkitree
Pokémon Sun," Trade
",Pheromosa
Pokémon Moon," Verdant Cavern (only four)
",Pheromosa
Pokémon Ultra Sun," Trade
",Pheromosa
Pokémon Ultra Moon," Ultra Desert
",Pheromosa
Pokémon Let's Go Pikachu and Let's Go Eevee," Unobtainable
",Pheromosa
Pokémon Sword and Shield," Unobtainable
",Pheromosa
Pokémon Sun," Melemele Meadow (only two)
",Buzzwole
Pokémon Moon," Trade
",Buzzwole
Pokémon Ultra Sun," Ultra Jungle
",Buzzwole
Pokémon Ultra Moon," Trade
",Buzzwole
Pokémon Let's Go Pikachu and Let's Go Eevee," Unobtainable
",Buzzwole
Pokémon Sword and Shield," Unobtainable
",Buzzwole
Pokémon Shuffle," Event: Ultra Beasts appear
",Buzzwole
Pokémon Sun and Moon," Diglett's Tunnel or Wela Volcano Park (only one for either location)
",Nihilego
Pokémon Ultra Sun and Ultra Moon," Ultra Deep Sea
",Nihilego
Pokémon Let's Go Pikachu and Let's Go Eevee," Unobtainable
",Nihilego
Pokémon Sword and Shield," Unobtainable
",Nihilego
Pokémon Shuffle," Event: Ultra Beasts appear
",Nihilego
Pokémon Sun," Trade
",Lunala
Pokémon Moon," Altar of the Moone (only one)
",Lunala
Pokémon Ultra Sun," Trade
",Lunala
Pokémon Ultra Moon," Mahalo Trail (only one)
",Lunala
Pokémon Let's Go Pikachu and Let's Go Eevee," Unobtainable
",Lunala
Pokémon Sword and Shield," Pokémon HOME
",Lunala
Pokémon Sun," Altar of the Sunne (only one)
",Solgaleo
Pokémon Moon," Trade
",Solgaleo
Pokémon Ultra Sun," Mahalo Trail (only one)
",Solgaleo
Pokémon Ultra Moon," Trade
",Solgaleo
Pokémon Let's Go Pikachu and Let's Go Eevee," Unobtainable
",Solgaleo
Pokémon Sword and Shield," Pokémon HOME
",Solgaleo
Pokémon Sun and Moon," Evolve Cosmog
",Cosmoem
Pokémon Ultra Sun and Ultra Moon," Evolve Cosmog
",Cosmoem
Pokémon Let's Go Pikachu and Let's Go Eevee," Unobtainable
",Cosmoem
Pokémon Sword and Shield," Pokémon HOME
",Cosmoem
Pokémon Shuffle," Event: A Great Chance a Day!
",Cosmoem
Pokémon Sun," Lake of the Sunne (only one)
",Cosmog
Pokémon Moon," Lake of the Moone (only one)
",Cosmog
Pokémon Ultra Sun," Lake of the Sunne (only one)
",Cosmog
Pokémon Ultra Moon," Lake of the Moone (only one)
",Cosmog
Pokémon Let's Go Pikachu and Let's Go Eevee," Unobtainable
",Cosmog
Pokémon Sword and Shield," Pokémon HOME
",Cosmog
Pokémon Shuffle," Event: A Great Chance a Day!
",Cosmog
Pokémon Sun and Moon," Ruins of Hope (after becoming Champion)
",Tapu Fini
Pokémon Ultra Sun and Ultra Moon," Ruins of Hope (after becoming Champion)
",Tapu Fini
Pokémon Let's Go Pikachu and Let's Go Eevee," Unobtainable
",Tapu Fini
Pokémon Sword and Shield," Unobtainable
",Tapu Fini
Pokémon Shuffle," Event: Tapu Fini Appears
",Tapu Fini
Pokémon Sun and Moon," Ruins of Abundance (after becoming Champion)
",Tapu Bulu
Pokémon Ultra Sun and Ultra Moon," Ruins of Abundance (after becoming Champion)
",Tapu Bulu
Pokémon Let's Go Pikachu and Let's Go Eevee," Unobtainable
",Tapu Bulu
Pokémon Sword and Shield," Unobtainable
",Tapu Bulu
Pokémon Shuffle," Event: Tapu Bulu Appears
",Tapu Bulu
Pokémon Sun and Moon," Ruins of Life (after becoming Champion)
",Tapu Lele
Pokémon Ultra Sun and Ultra Moon," Ruins of Life (after becoming Champion)
",Tapu Lele
Pokémon Let's Go Pikachu and Let's Go Eevee," Unobtainable
",Tapu Lele
Pokémon Sword and Shield," Unobtainable
",Tapu Lele
Pokémon Shuffle," Event: Tapu Lele Appears
",Tapu Lele
Pokémon Sun and Moon," Ruins of Conflict (after becoming Champion)
",Tapu Koko
Pokémon Ultra Sun and Ultra Moon," Ruins of Conflict (after becoming Champion)
",Tapu Koko
Pokémon Let's Go Pikachu and Let's Go Eevee," Unobtainable
",Tapu Koko
Pokémon Sword and Shield," Unobtainable
",Tapu Koko
Pokémon Shuffle," Event: Tapu Koko Appears
",Tapu Koko
Pokémon Sun and Moon," Vast Poni Canyon (SOS Battle)
",Kommo-o
Pokémon Ultra Sun," Vast Poni Canyon (SOS Battle)
",Kommo-o
Pokémon Ultra Moon," Vast Poni Canyon (SOS Battle), Received from Samson Oak at Heahea Beach* (Totem-sized)
",Kommo-o
Pokémon Let's Go Pikachu and Let's Go Eevee," Unobtainable
",Kommo-o
Pokémon Sword," Evolve Hakamo-o, Dusty Bowl, Max Raid Battle (Axew's Eye, Rolling Fields)
",Kommo-o
Pokémon Shield," Trade
",Kommo-o
Pokémon Shuffle," Event: Kommo-o Appears
",Kommo-o
Pokémon Sun and Moon," Vast Poni Canyon (SOS Battle)
",Hakamo-o
Pokémon Ultra Sun and Ultra Moon," Vast Poni Canyon (SOS Battle)
",Hakamo-o
Pokémon Let's Go Pikachu and Let's Go Eevee," Unobtainable
",Hakamo-o
Pokémon Sword," Evolve Jangmo-o, Dusty Bowl, Max Raid Battle (Axew's Eye, Rolling Fields)
",Hakamo-o
Pokémon Shield," Trade
",Hakamo-o
Pokémon Shuffle," Event: Pokémon Safari (25th release)
",Hakamo-o
Pokémon Sun and Moon," Vast Poni Canyon
",Jangmo-o
Pokémon Ultra Sun and Ultra Moon," Vast Poni Canyon
",Jangmo-o
Pokémon Let's Go Pikachu and Let's Go Eevee," Unobtainable
",Jangmo-o
Pokémon Sword," Lake of Outrage, Max Raid Battle (Axew's Eye, Rolling Fields)
",Jangmo-o
Pokémon Shield," Trade
",Jangmo-o
Pokémon Shuffle," Event: Pokémon Safari (25th release)
",Jangmo-o
Pokémon Sun and Moon," Seafolk Village (Fishing)
",Dhelmise
Pokémon Ultra Sun and Ultra Moon," Seafolk Village (Fishing)
",Dhelmise
Pokémon Let's Go Pikachu and Let's Go Eevee," Unobtainable
",Dhelmise
Pokémon Sword and Shield,"
",Dhelmise
Pokémon Shuffle," Event: Dhelmise Appears
",Dhelmise
Pokémon Sun," Trade, Event
",Drampa
Pokémon Moon," Mount Lanakila
",Drampa
Pokémon Ultra Sun," Trade
",Drampa
Pokémon Ultra Moon," Mount Lanakila
",Drampa
Pokémon Let's Go Pikachu and Let's Go Eevee," Unobtainable
",Drampa
Pokémon Sword," Trade
",Drampa
Pokémon Shield," Lake of Outrage or Max Raid Battle
",Drampa
Pokémon Shuffle," Event: Pokémon Safari (22nd release)
",Drampa
Pokémon Sun and Moon," Routes 13, 14, and 15, Secluded Shore (Fishing)
",Bruxish
Pokémon Ultra Sun and Ultra Moon," Routes 13, 14, and 15 (Fishing)
",Bruxish
Pokémon Let's Go Pikachu and Let's Go Eevee," Unobtainable
",Bruxish
Pokémon Sword and Shield," Unobtainable
",Bruxish
Pokémon Sun and Moon," Thrifty Megamart (Abandoned Site)
",Mimikyu
Pokémon Ultra Sun and Ultra Moon," Thrifty Megamart (Abandoned Site), Received from Samson Oak at Heahea Beach* (Totem-sized)
",Mimikyu
Pokémon Let's Go Pikachu and Let's Go Eevee," Unobtainable
",Mimikyu
Pokémon Sword and Shield," Bridge Field (Overworld), Giant's Mirror (Random encounter), Hammerlocke Hills, Rolling Fields (Max Raid Battles)
",Mimikyu
Pokémon Shuffle," Event: Mimikyu Appears
",Mimikyu
Pokémon Sun and Moon," Blush Mountain
",Togedemaru
Pokémon Ultra Sun," Blush Mountain
",Togedemaru
Pokémon Ultra Moon," Blush Mountain, Received from Samson Oak at Heahea Beach* (Totem-sized)
",Togedemaru
Pokémon Let's Go Pikachu and Let's Go Eevee," Unobtainable
",Togedemaru
Pokémon Sword and Shield," Route 8, Lake of Outrage
",Togedemaru
Pokémon Masters," Sync Pair Scout (Sophocles's)
",Togedemaru
Pokémon Shuffle," Event: Pokémon Safari (16th release)
",Togedemaru
Pokémon Sun," Blush Mountain
",Turtonator
Pokémon Moon," Trade, Event
",Turtonator
Pokémon Ultra Sun," Blush Mountain
",Turtonator
Pokémon Ultra Moon," Trade
",Turtonator
Pokémon Let's Go Pikachu and Let's Go Eevee," Unobtainable
",Turtonator
Pokémon Sword,"
",Turtonator
Pokémon Shield," Trade
",Turtonator
Pokémon Shuffle," Event: Turtonator Appears
",Turtonator
Pokémon Sun and Moon," Route 11
",Komala
Pokémon Ultra Sun and Ultra Moon," Route 11
",Komala
Pokémon Let's Go Pikachu and Let's Go Eevee," Unobtainable
",Komala
Pokémon Sword and Shield," Unobtainable
",Komala
Pokémon Shuffle," Event: The Daily Pokémon (#7)
",Komala
Pokémon Sun and Moon," Mount Hokulani
",Minior
Pokémon Ultra Sun and Ultra Moon," Mount Hokulani
",Minior
Pokémon Let's Go Pikachu and Let's Go Eevee," Unobtainable
",Minior
Pokémon Sword and Shield," Unobtainable
",Minior
Pokémon Shuffle," Event: Minior Appears
",Minior
Pokémon Sun and Moon," Evolve Type: Null
",Silvally
Pokémon Ultra Sun and Ultra Moon," Evolve Type: Null
",Silvally
Pokémon Let's Go Pikachu and Let's Go Eevee," Unobtainable
",Silvally
Pokémon Sword and Shield," Evolve Type: Null
",Silvally
Pokémon Shuffle," Event: Silvally Appears
",Silvally
Pokémon Sun and Moon," Received from Gladion at Aether Paradise after becoming Champion
",Type: Null
Pokémon Ultra Sun and Ultra Moon," Received from Wicke at Ancient Poni Path after becoming Champion
",Type: Null
Pokémon Let's Go Pikachu and Let's Go Eevee," Unobtainable
",Type: Null
Pokémon Sword and Shield," Received from a Macro Cosmos employee at the Battle Tower after becoming Champion
",Type: Null
Pokémon Shuffle," Event: Type: Null Appears
",Type: Null
Pokémon Sun and Moon," Route 7, Hano Beach (Surfing), Poké Pelago*
",Pyukumuku
Pokémon Ultra Sun and Ultra Moon," Route 7, Hano Beach (Surfing), Poké Pelago*
",Pyukumuku
Pokémon Let's Go Pikachu and Let's Go Eevee," Unobtainable
",Pyukumuku
Pokémon Sword and Shield," Route 9, South Lake Miloch (Overworld), Giant's Seat (Fishing), Bridge Field, Dusty Bowl, East Lake Axewell, Giant's Cap, Giant's Mirror, Lake of Outrage, North Lake Miloch, South Lake Miloch, West Lake Axewell (Max Raid Battle)
",Pyukumuku
Pokémon Shuffle," Event: The Daily Pokémon (#9)
",Pyukumuku
Pokémon Sun and Moon," Evolve Sandygast
",Palossand
Pokémon Ultra Sun and Ultra Moon," Evolve Sandygast
",Palossand
Pokémon Let's Go Pikachu and Let's Go Eevee," Unobtainable
",Palossand
Pokémon Sword and Shield," Unobtainable
",Palossand
Pokémon Masters," Chapter 17: Ghostly Trio (Acerola's)
",Palossand
Pokémon Shuffle," Event: Palossand Appears
",Palossand
Pokémon Sun and Moon," Hano Beach
",Sandygast
Pokémon Ultra Sun," Hano Beach
",Sandygast
Pokémon Ultra Moon," Hano Beach, Route 15 (One)
",Sandygast
Pokémon Let's Go Pikachu and Let's Go Eevee," Unobtainable
",Sandygast
Pokémon Sword and Shield," Unobtainable
",Sandygast
Pokémon Shuffle," Event: Pokémon Safari (25th release)
",Sandygast
Pokémon Sun and Moon," Evolve Wimpod
",Golisopod
Pokémon Ultra Sun and Ultra Moon," Evolve Wimpod
",Golisopod
